,Record #,League,Team,Wins,Losses,Win %,Year
86,87,AL,Oakland Athletics,101,60,0.627,1971
87,88,NL,Philadelphia Phillies,101,61,0.623,1976
88,89,NL,Philadelphia Phillies,101,61,0.623,1977
89,90,NL,St. Louis Cardinals,101,61,0.623,1985
90,91,NL,Atlanta Braves,101,61,0.623,1997
91,92,NL,Atlanta Braves,101,59,0.631,2002
92,93,AL,New York Yankees,101,61,0.623,2003
93,94,NL,Atlanta Braves,101,61,0.623,2003
94,95,AL,New York Yankees,101,61,0.623,2004
95,96,AL,Houston Astros,101,61,0.623,2017
96,97,AL,Minnesota Twins,101,61,0.623,2019
97,98,NL,Atlanta Braves,101,61,0.623,2022
98,99,NL,New York Mets,101,61,0.623,2022
99,100,AL,Baltimore Orioles,101,61,0.623,2023
100,101,AL,Detroit Tigers,100,54,0.649,1915
101,102,AL,Chicago White Sox,100,54,0.649,1917
102,103,NL,Chicago Cubs,100,54,0.649,1935
103,104,NL,Cincinnati Reds,100,53,0.654,1940
104,105,NL,Brooklyn Dodgers,100,54,0.649,1941
105,106,NL,New York Mets,100,62,0.617,1969
106,107,AL,New York Yankees,100,62,0.617,1977
107,108,AL,New York Yankees,100,63,0.613,1978
108,109,AL,Baltimore Orioles,100,62,0.617,1980
109,110,NL,New York Mets,100,60,0.625,1988
110,111,AL,Cleveland Indians,100,44,0.694,1995
111,112,NL,Arizona Diamondbacks,100,62,0.617,1999
112,113,NL,San Francisco Giants,100,61,0.621,2003
113,114,NL,St. Louis Cardinals,100,62,0.617,2005
114,115,AL,Los Angeles Angels,100,62,0.617,2008
115,116,NL,St. Louis Cardinals,100,62,0.617,2015
116,117,AL,New York Yankees,100,62,0.617,2018
117,118,AL,Tampa Bay Rays,100,62,0.617,2021
118,119,NL,Los Angeles Dodgers,100,62,0.617,2023
